OBJECTID,description,class,name,commodities,operational,state,feature_date,revised,longitude,latitude,alumina,aluminium,ammonia,antimony,bauxite,coal,copper___concentrate,copper___ore,copper___refined,crude_oil,fertiliser,garnet,gold,gypsum,heavy_mineral_sands,illmenite,iron_ore,lead___concentrate,lead___ore,lead___refined,limestone,liquid_natural_gas,lithium,magnetite,manganese,nickel,oil_and_petroleum,paragoethite,phosphate,platinum_group_elements,potash,salt,scrap_metal,silica_sands,silver,sinter,steel,sulphuric_acid,talc,tantalum,tin,tungsten,uranium,zinc____concentrate,zinc___ore,zinc___refined,globalid,x,y
1,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Abbot Point,Coal,Operational,Queensland,1/1/2007 12:00:00 AM,7/28/2014 12:00:00 AM,148.08333,-19.88333,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,b2d7b4ba-a7b8-4683-9498-274457b477a9,16484560.8906,-2259214.8735
2,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Albany,Silica Sands,Operational,Western Australia,1/1/2001 12:00:00 AM,7/28/2014 12:00:00 AM,117.88924,-35.03078,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,7a642a2e-d6a1-477e-ab50-13d3fd1a2285,13123370.1668,-4168064.8102
3,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Ardrossan,,Operational,South Australia,1/1/1999 12:00:00 AM,7/28/2014 12:00:00 AM,137.91678,-34.43709,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,83a62eba-0823-435e-848a-f5b407c9e504,15352825.7214,-4087644.6258
4,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Ashburton (Dampier),"Ammonia, Iron Ore, Liquid Natural Gas, Salt",Operational,Western Australia,,,115.86545,-21.16665,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,82b9cb97-c808-43c9-bdca-74dabe748cfa,12898082.8945,-2411760.9493
5,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Barrow Island,,Operational,Western Australia,1/1/2010 12:00:00 AM,7/28/2014 12:00:00 AM,115.46379,-20.78951,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,fe648dd4-7a0f-427f-b9b8-32bfd5dea426,12853370.3079,-2366797.5288
6,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Bell Bay Port,"Aluminium, Bauxite, Manganese, Sinter",Operational,Tasmania,,,146.8839,-41.1602,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,f7654032-a7ce-4b4b-b1b5-f2c796612602,16351040.9537,-5035999.921
7,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Bing Bong,,Operational,Northern Territory,1/30/2008 12:00:00 AM,7/28/2014 12:00:00 AM,136.38912,-15.62719,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2ff4b448-75ef-41f9-8c75-b83247258fa5,15182767.3881,-1761589.2015
8,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Botany Bay,"Alumina, Aluminium, Bauxite, Copper - Concentrate, Copper - Ore, Copper - Refined, Heavy Mineral Sands, Lead - Concentrate, Lead - Ore, Lead - Refined, Liquid Natural Gas, Manganese, Nickel, Oil and Petroleum, Salt, Silica Sands, Zinc  - Concentrate, Zinc - Ore, Zinc - Refined",Operational,New South Wales,1/1/2007 12:00:00 AM,7/28/2014 12:00:00 AM,151.2166,-33.97067,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,090bdd74-8e18-439e-ac2c-05916b04a536,16833354.9115,-4024864.4033
9,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Brisbane,"Aluminium, Coal, Heavy Mineral Sands, Liquid Natural Gas, Manganese, Oil and Petroleum, Silica Sands, Steel, Tungsten, Zinc - Refined",Operational,Queensland,1/1/2009 12:00:00 AM,7/28/2014 12:00:00 AM,153.17156,-27.37148,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,9b4cef50-d2c7-4188-88ad-979e5aaadd5d,17050980.0632,-3169960.4229
10,A facility where maritime vessels have the ability to load and unload commodities,Commodity,Broome,Oil and Petroleum,Operational,Western Australia,1/1/2011 12:00:00 AM,7/28/2014 12:00:00 AM,122.21253,-18.00359,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,619a93b0-453e-4af1-8a1d-11d5eac9a176,13604636.6082,-2037968.7522
