Commodities,Name,State,Longitude,Latitude
Jade,Cowell,SA,136.9378484,-33.47977681
"Uranium, Uranium oxide",Beverley,SA,139.6051052,-30.1904091
"Gold, Copper",Boddington,WA,116.3581,-32.7509
"Zinc, Copper, Lead, Silver, Gold",Dry River South,QLD,144.689,-18.7904
Diamond - undifferentiated,Ellendale,WA,124.8580364,-17.56322215
"Zinc, Lead, Silver, Copper, Gold",Endeavor,NSW,145.6537957,-31.1629209
Gold,Agnew Project,WA,120.5081,-28.00071
"Ilmenite, Zircon, Rutile",Eneabba area (Iluka Mid West),WA,115.3017944,-29.83553686
Gold,Burbanks (Barra),WA,121.1375,-31.0279
"Gold, Copper",Cadia Hill,NSW,148.9957,-33.4574
Silica sand,Cape Flattery,QLD,145.2721642,-14.98502271
"Copper, Zinc, Silver",Whundo,WA,116.9274781,-21.07876193
Bauxite,Willowdale,WA,116.0618237,-32.84509906
"Vanadium, Iron, Rutile, Titanium, Vanadium pentoxide, Platinum group elements, Chromium, Iron ore",Windimurra (Atlantic),WA,118.5352,-28.2993
"Manganese ore, Manganese",Woodie Woodie,WA,121.235468,-21.63877089
"Iron ore, Iron",Tallering Peak (Mount Gibson),WA,115.6219627,-28.1112601
"Iron ore, Iron",Frances Creek,NT,131.8500162,-13.56416283
", Alumina, Bauxite",Gove,NT,136.8370171,-12.26111724
Gold,Granny Smith Project,WA,122.423,-28.812
"Iron ore, Iron",Mining Area C (Mt Goldsworthy JV - BHP),WA,118.96431,-22.92817
Gold,Butterfly,WA,121.3804,-29.198
", Lithium oxide, Tantalum pentoxide, Kaolin, Lithium, Tantalum, Tin, Niobium",Greenbushes,WA,116.06683,-33.85584603
"Manganese ore, Manganese",Groote Eylandt,NT,136.445547,-13.992158
Opal,Andamooka,SA,137.1699779,-30.44708372
"Rutile, Zircon, Ilmenite, Leucoxene",Snapper,NSW,142.11998,-33.39700932
"Zircon, Rutile, Ilmenite, Leucoxene",Ginkgo,NSW,142.2159283,-33.37154825
Gold,Hill 50,WA,117.7972,-28.0336
"Gold, Antimony, Tungsten, Tungsten trioxide (wolframite)",Hillgrove Project,NSW,151.9009,-30.5745
"Zinc, Lead, Silver, Copper",George Fisher,QLD,139.4720108,-20.57105007
"Iron ore, Iron",Koolanooka (Sinosteel Midwest Corp),WA,116.2025718,-29.18208178
"Copper, Gold, Silver, Cobalt",Tritton,NSW,146.7216,-31.3956
Vermiculite,Mud Tank,NT,134.2654939,-23.00810673
Gold,Challenger,SA,133.5889,-29.8782
"Zinc, Lead, Gold, Silver, Copper",Angas,SA,138.9159169,-35.25106617
"Iron, Iron ore",Hope Downs JV,WA,119.1229306,-22.94691023
"Iron ore, Iron",Extension Hill (Mt Gibson Iron),WA,117.1883196,-29.59581489
Coal - brown,Anglesea,VIC,144.1699617,-38.39175093
Coal - brown,Yallourn,VIC,146.3604023,-38.19506423
Nickel,Flying Fox,WA,119.6889871,-32.41846168
"Gold, Copper, Silver, Zinc, Lead",Mineral Hill,NSW,146.9871,-32.5755
Opal,Mintabie,SA,133.3001936,-27.32211388
Tin,Mount Bischoff,TAS,145.5200181,-41.42699925
"Tungsten trioxide wolframite, Tungsten, Tin",Mount Carbine,QLD,145.1318752,-16.51829604
Copper,Nifty,WA,121.5708705,-21.65485326
Coal,Leigh Creek,SA,138.4165883,-30.48035939
", Phosphorous oxide, Phosphate",Duchess,QLD,139.9682053,-21.87455516
"Magnesite, Magnesia magnesium oxide",Kunwarara,QLD,150.1868503,-22.88144351
"Copper, Gold",Lady Annie,QLD,139.0440158,-19.77305269
"Zinc, Lead, Silver",Lady Loretta,QLD,139.0701935,-19.76858853
Opal,Lightning Ridge,NSW,147.9802269,-29.40483945
"Iron, Iron ore",Hamersley Iron - Marandoo,WA,118.1385991,-22.63545578
Gold,Marvel Loch,WA,119.4926,-31.4646
Diamond - undifferentiated,Argyle,WA,128.383926,-16.71164537
"Lead, Zinc, Silver, Gold",The Pinnacles,NSW,141.3286608,-32.04902254
", Alumina, Bauxite",Weipa,QLD,141.8732,-12.6637
"Iron ore, Iron",West Angelas,WA,118.7882903,-23.18854955
"Copper, Zinc, Gold, Silver, Lead",Whim Creek,WA,117.8305834,-20.84373003
Talc,Mount Fitton,SA,139.4465064,-29.91004056
"Zinc, Lead, Silver, Cadmium, Copper",Mount Isa (Pb-Zn-Ag orebodies),QLD,139.4781919,-20.72158072
Copper,Mount Isa (Cu orebodies),QLD,139.4783449,-20.74339211
"Nickel, Cobalt, Copper",Mount Keith,WA,120.54174,-27.229599
"Gold, Silver",Mount Rawdon,QLD,151.7641,-25.2713
", Alumina, Bauxite",Worsley,WA,116.4559108,-32.92920823
