ENO,Name,Synonyms,State,Operating Status,Longitude,Latitude,Commodities,Significance,Description1,URL1,Description2,URL2,Description3,URL3,Description4,URL4,Description5,URL5
335005,Cowell,,SA,operating mine,136.9378484,-33.47977681,Jade,6,,,,,,,,,,
335289,Beverley,,SA,operating mine,139.6051052,-30.1904091,"Uranium, Uranium oxide",3,Heathgate Resources,http://www.heathgateresources.com.au,"Australia's Uranium Resources, Geology and Development of Deposits",http://www.ga.gov.au/image_cache/GA9508.pdf,,,,,,
335111,Boddington,"Hedges, Wandoo",WA,operating mine,116.3581,-32.7509,"Gold, Copper",2,Newmont Mining Corporation,http://www.newmont.com,,,,,,,,
334545,Dry River South,,QLD,operating mine,144.689,-18.7904,"Zinc, Copper, Lead, Silver, Gold",4,Kagara Limited,http://www.kagara.com.au,,,,,,,,
335211,Ellendale,"Ellendale 4, Ellendale 9",WA,operating mine,124.8580364,-17.56322215,Diamond - undifferentiated,5,Gem Diamonds Limited,http://www.gemdiamonds.com/,,,,,,,,
333485,Endeavor,Elura,NSW,operating mine,145.6537957,-31.1629209,"Zinc, Lead, Silver, (Copper, Gold)",2,CBH Resources Limited,http://www.cbhresources.com.au,Toho Zinc Company Ltd,http://www.toho-zinc.co.jp/,,,,,,
334067,Agnew Project,Agnew Gold Project,WA,operating mine,120.5081,-28.00071,Gold,3,Gold Fields Limited,http://www.goldfields.co.za/,,,,,,,,
334068,Eneabba area (Iluka Mid West),Mid-West (Iluka),WA,operating mine,115.3017944,-29.83553686,"Ilmenite, Zircon, Rutile",2,Iluka Resources Ltd,http://www.iluka.com,,,,,,,,
358428,Burbanks (Barra),Birthday Gift,WA,operating mine,121.1375,-31.0279,Gold,5,Barra Resources Limited,http://www.barraresources.com.au,,,,,,,,
335835,Cadia Hill,"Cadia, Cadia Extended, Cadia Valley",NSW,operating mine,148.9957,-33.4574,"Gold, Copper",2,"Newcrest Mining Ltd - Cadia Valley, NSW",http://www.newcrest.com.au/our-business/operations/cadia-nsw/,Newcrest Mining Ltd,http://www.newcrest.com.au,New South Wales Minerals Council,http://www.nswmin.com.au/,,,,
333865,Cape Flattery,,QLD,operating mine,145.2721642,-14.98502271,Silica sand,6,Cape Flattery Silica Mines Pty,http://www.cfsm.com.au/cape.htm,,,,,,,,
334389,Whundo,"Yannery, West Whundo, Ayshia",WA,operating mine,116.9274781,-21.07876193,"Copper, Zinc, (Silver)",4,Fox Resources Ltd,http://www.foxresources.com.au,,,,,,,,
335465,Willowdale,,WA,operating mine,116.0618237,-32.84509906,Bauxite,6,Alcoa of Australia Ltd,http://www.alcoa.com.au,,,,,,,,
334559,Windimurra (Atlantic),Wagoo Hills,WA,operating mine,118.5352,-28.2993,"Vanadium, Iron, Rutile, Titanium, Vanadium pentoxide, Platinum group elements, Chromium, (Iron ore)",3,Maximus Resources Limited,http://www.maximusresources.com/,Atlantic Limited,http://atlanticltd.com.au/,,,,,,
334388,Woodie Woodie,"Bells Leases, Mike, consists of over 30 deposits",WA,operating mine,121.235468,-21.63877089,"Manganese ore, (Manganese)",3,Consolidated Minerals Ltd - Palmary Enterprises,http://www.consminerals.com.au,Mineral Resources Ltd,http://www.mineralresources.com.au,Pilbara Manganese,http://www.consminerals.com.au/b/au_manganese.php,,,,
334470,Tallering Peak (Mount Gibson),"T1, T3, T4, T5, T6",WA,operating mine,115.6219627,-28.1112601,"Iron ore, (Iron)",4,Mt Gibson Iron Ltd,http://www.mtgibsoniron.com.au/,,,,,,,,
334254,Frances Creek,"Helene 1, 2, 3, 4, 5, 6/7, 9, Extended, Elizabeth Marion, Thelma, Rosemary",NT,operating mine,131.8500162,-13.56416283,"Iron ore, (Iron)",4,Territory Resources Ltd,http://www.territoryresources.com.au,,,,,,,,
335741,Gove,,NT,operating mine,136.8370171,-12.26111724,", (Alumina, Bauxite)",2,Rio Tinto,http://www.riotinto.com,,,,,,,,
334069,Granny Smith Project,Granny Smith Project,WA,operating mine,122.423,-28.812,Gold,3,Gold Fields Limited,http://www.goldfields.co.za/,,,,,,,,
336156,Mining Area C (Mt Goldsworthy JV - BHP),"Area C, MAC, C Deposit, consists of around 30 Deposits",WA,operating mine,118.96431,-22.92817,"Iron ore, (Iron)",2,BHP Billiton,http://www.bhpbilliton.com,BHP Billiton Limited - Yandi,http://www.bhpbilliton.com/home/businesses/ironore/Pages/default.aspx,,,,,,
334581,Butterfly,North Kookynie Project,WA,operating mine,121.3804,-29.198,Gold,5,Nex Metals Explorations Limited,http://www.nexmetals.com,,,,,,,,
333503,Greenbushes,,WA,operating mine,116.06683,-33.85584603,", (Lithium oxide, Tantalum pentoxide, Kaolin, Lithium, Tantalum, Tin, Niobium)",3,Talison Minerals,http://www.talison.com.au,Spodumene,http://www.spodumene.com,,,,,,
334839,Groote Eylandt,,NT,operating mine,136.445547,-13.992158,"Manganese ore, (Manganese)",2,BHP Billiton,http://www.bhpbilliton.com,,,,,,,,
333862,Andamooka,,SA,operating mine,137.1699779,-30.44708372,Opal,6,Straits Resources Limited,http://www.straits.com.au,Argonaut Resources NL,http://www.argonautresources.com/,,,,,,
336186,Snapper,,NSW,operating mine,142.11998,-33.39700932,"Rutile, Zircon, Ilmenite, (Leucoxene)",3,BeMax Resources NL,http://www.bemax.com.au,Iluka Resources Ltd,http://www.iluka.com,,,,,,
334437,Ginkgo,,NSW,operating mine,142.2159283,-33.37154825,"Zircon, Rutile, Ilmenite, (Leucoxene)",3,BeMax Resources NL,http://www.bemax.com.au,,,,,,,,
335114,Hill 50,Mt Magnet Project,WA,operating mine,117.7972,-28.0336,Gold,3,Ramelius Resources Limited,http://www.rameliusresources.com.au,,,,,,,,
334198,Hillgrove Project,"Garibaldi-Eleanora, Freehold, Sunlight, West Sunlight, Black Lode",NSW,operating mine,151.9009,-30.5745,"Gold, (Antimony, Tungsten, Tungsten trioxide (wolframite))",4,Straits Resources Limited,http://www.straits.com.au,,,,,,,,
333688,George Fisher,"North Hilton, Hilton",QLD,operating mine,139.4720108,-20.57105007,"Zinc, Lead, Silver, Copper",2,,,,,,,,,,
335852,Koolanooka (Sinosteel Midwest Corp),,WA,operating mine,116.2025718,-29.18208178,"Iron ore, (Iron)",2,Midwest Corporation,http://www.midwestcorp.com.au,Sinosteel Midwest Corporation,http://www.sinosteelmidwest.com.au,,,,,,
335156,Tritton,,NSW,operating mine,146.7216,-31.3956,"Copper, (Gold, Silver, Cobalt)",3,Straits Resources Limited,http://www.straits.com.au,,,,,,,,
333621,Mud Tank,,NT,operating mine,134.2654939,-23.00810673,Vermiculite,6,Imdex Ltd,http://www.imdex.com.au,,,,,,,,
336200,Challenger,,SA,operating mine,133.5889,-29.8782,Gold,3,Kingsgate Consolidated Limited,http://www.kingsgate.com.au,,,,,,,,
333802,Angas,,SA,operating mine,138.9159169,-35.25106617,"Zinc, Lead, Gold, (Silver, Copper)",4,Terramin Australia Limited,http://www.terramin.com.au,,,,,,,,
333907,Hope Downs JV,includes Hope North and Hope South,WA,operating mine,119.1229306,-22.94691023,"Iron, Iron ore",2,Rio Tinto Limited,http://www.riotinto.com,Hancock Prospecting Pty Ltd,http://www.hancockprospecting.com.au/,Rio Tinto Iron Ore,http://www.riotintoironore.com,,,,
335038,Extension Hill (Mt Gibson Iron),"Mt Gibson, Iron Hill",WA,operating mine,117.1883196,-29.59581489,"Iron ore, (Iron)",3,Mt Gibson Iron Ltd,http://www.mtgibsoniron.com.au/,,,,,,,,
