commodities,class,state,longitude,latitude
Coal,Commodity,Queensland,148.08333,-19.88333
Silica Sands,Commodity,Western Australia,117.88924,-35.03078
Iron Ore,Commodity,South Australia,137.91678,-34.43709
"Ammonia, Iron Ore, Liquid Natural Gas, Salt",Commodity,Western Australia,115.86545,-21.16665
Iron Ore,Commodity,Western Australia,115.46379,-20.78951
"Aluminium, Bauxite, Manganese, Sinter",Commodity,Tasmania,146.8839,-41.1602
Iron Ore,Commodity,Northern Territory,136.38912,-15.62719
"Alumina, Aluminium, Bauxite, Copper - Concentrate, Copper - Ore, Copper - Refined, Heavy Mineral Sands, Lead - Concentrate, Lead - Ore, Lead - Refined, Liquid Natural Gas, Manganese, Nickel, Oil and Petroleum, Salt, Silica Sands, Zinc  - Concentrate, Zinc - Ore, Zinc - Refined",Commodity,New South Wales,151.2166,-33.97067
"Aluminium, Coal, Heavy Mineral Sands, Liquid Natural Gas, Manganese, Oil and Petroleum, Silica Sands, Steel, Tungsten, Zinc - Refined",Commodity,Queensland,153.17156,-27.37148
Oil and Petroleum,Commodity,Western Australia,122.21253,-18.00359
"Alumina, Copper - Concentrate, Heavy Mineral Sands, Lithium, Oil and Petroleum, Silica Sands",Commodity,Western Australia,115.66655,-33.32127
Silica Sands,Commodity,Queensland,152.38285,-24.77099
"Aluminium, Copper - Concentrate, Lead - Concentrate, Magnetite, Silica Sands, Tin, Tungsten, Zinc  - Concentrate, Zinc - Ore",Commodity,Tasmania,145.91118,-41.05032
Oil and Petroleum,Commodity Military,Queensland,145.78038,-16.92603
Iron Ore,Commodity,Western Australia,113.39411,-24.22505
Silica Sands,Commodity,Queensland,145.35266,-14.98353
Iron Ore,Commodity,Western Australia,116.20683,-20.84266
Phosphate ,Commodity,Australian Overseas Territory,105.67167,-10.42509
Phosphate ,Commodity,Australian Overseas Territory,96.89274,-12.11663
"Ammonia, Crude Oil, Iron Ore, Liquid Natural Gas, Lithium, Salt",Commodity,Western Australia,116.70109,-20.66269
"Illmenite, Liquid Natural Gas, Manganese, Uranium",Commodity Military,Northern Territory,130.84527,-12.47116
"Liquid Natural Gas, Oil and Petroleum",Commodity,Tasmania,146.36631,-41.18003
Iron Ore,Commodity Military,New South Wales,149.92851,-37.10199
"Copper - Concentrate, Iron Ore, Lithium, Nickel, Potash, Tantalum",Commodity,Western Australia,121.89836,-33.87233
