station,name,x,y,tair
1006.0,Wyndham Aero,128.2,-15.5,[29 - 31.500]
1007.0,Troughton Island,126.1,-13.8,[29 - 31.500]
1019.0,Kalumburu,126.6,-14.3,[29 - 31.500]
1020.0,Truscott,126.4,-14.1,[26.500 - 29]
2012.0,Halls Creek Meteorological Office,127.7,-18.2,[29 - 31.500]
2056.0,Kununurra Aero,128.7,-15.8,[29 - 31.500]
2064.0,Argyle Aerodrome,128.5,-16.6,[29 - 31.500]
3003.0,Broome Airport,122.2,-17.9,[29 - 31.500]
3032.0,Derby Aero,123.7,-17.4,[29 - 31.500]
3080.0,Curtin Aero,123.8,-17.6,[29 - 31.500]
3093.0,Fitzroy Crossing Aero,125.6,-18.2,[29 - 31.500]
4019.0,Mandora,120.8,-19.7,[29 - 31.500]
4032.0,Port Hedland Airport,118.6,-20.4,[29 - 31.500]
4083.0,Karratha Aero,116.8,-20.7,[29 - 31.500]
4090.0,Roebourne Aero,117.2,-20.8,[29 - 31.500]
4095.0,Legendre Island,116.8,-20.4,[29 - 31.500]
4106.0,Marble Bar,119.7,-21.2,[31.500 - 34]
5007.0,Learmonth Airport,114.1,-22.2,[26.500 - 29]
5008.0,Mardie,116.0,-21.2,[29 - 31.500]
5017.0,Onslow Airport,115.1,-21.7,[29 - 31.500]
5094.0,Barrow Island Airport,115.4,-20.9,[26.500 - 29]
6011.0,Carnarvon Airport,113.7,-24.9,[24 - 26.500]
6105.0,Shark Bay Airport,113.6,-25.9,[24 - 26.500]
7045.0,Meekatharra Airport,118.5,-26.6,[29 - 31.500]
7176.0,Newman Aero,119.8,-23.4,[29 - 31.500]
7185.0,Paraburdoo Aero,117.7,-23.2,[31.500 - 34]
7600.0,Mount Magnet Aero,117.8,-28.1,[26.500 - 29]
8051.0,Geraldton Airport Comparison,114.7,-28.8,[24 - 26.500]
8290.0,North Island,113.6,-28.3,[21.500 - 24]
8296.0,Morawa Airport,116.0,-29.2,[24 - 26.500]
8297.0,Dalwallinu,116.7,-30.3,[21.500 - 24]
8315.0,Geraldton Airport,114.7,-28.8,[24 - 26.500]
9021.0,Perth Airport,116.0,-31.9,[21.500 - 24]
9037.0,Badgingarra Research Stn,115.5,-30.3,[21.500 - 24]
9053.0,Pearce Raaf,116.0,-31.7,[21.500 - 24]
9172.0,Jandakot Aero,115.9,-32.1,[21.500 - 24]
9178.0,Gingin Aero,115.9,-31.5,[21.500 - 24]
9193.0,Rottnest Island,115.5,-32.0,[19 - 21.500]
9215.0,Swanbourne,115.8,-32.0,[21.500 - 24]
9225.0,Perth Metro,115.9,-31.9,[21.500 - 24]
9240.0,Bickley,116.1,-32.0,[19 - 21.500]
9256.0,Garden Island Hsf,115.7,-32.2,[21.500 - 24]
9265.0,Hillarys Boat Harbour Ntc Aws,115.7,-31.8,[21.500 - 24]
9518.0,Cape Leeuwin,115.1,-34.4,[16.500 - 19]
9519.0,Cape Naturaliste,115.0,-33.5,[19 - 21.500]
9538.0,Dwellingup,116.1,-32.7,[19 - 21.500]
9542.0,Esperance Aero,121.8,-33.7,[19 - 21.500]
9569.0,Busselton,115.3,-33.7,[19 - 21.500]
9573.0,Manjimup,116.1,-34.3,[16.500 - 19]
9603.0,Busselton Aero,115.4,-33.7,[19 - 21.500]
9617.0,Bridgetown,116.1,-33.9,[19 - 21.500]
9741.0,Albany Airport Comparison,117.8,-34.9,[16.500 - 19]
9746.0,Witchcliffe,115.1,-34.0,[19 - 21.500]
9789.0,Esperance,121.9,-33.8,[19 - 21.500]
9887.0,Mandurah,115.8,-32.5,[21.500 - 24]
9961.0,Hopetoun North,120.1,-33.9,[19 - 21.500]
9964.0,Rocky Gully,117.0,-34.6,[16.500 - 19]
9965.0,Bunbury,115.6,-33.4,[19 - 21.500]
9968.0,Shannon,116.3,-34.6,[16.500 - 19]
9977.0,Mandurah,115.7,-32.5,[21.500 - 24]
9994.0,Collie East,116.2,-33.4,[19 - 21.500]
9998.0,North Walpole,116.7,-34.9,[16.500 - 19]
9999.0,Albany Airport,117.8,-34.9,[19 - 21.500]
10286.0,Cunderdin Airfield,117.2,-31.6,[21.500 - 24]
10692.0,Newdegate Research Station,118.8,-33.1,[19 - 21.500]
10905.0,Jacup,119.1,-33.9,[19 - 21.500]
10911.0,Lake Grace,118.5,-33.1,[19 - 21.500]
10916.0,Katanning,117.6,-33.7,[16.500 - 19]
10917.0,Wandering,116.7,-32.7,[19 - 21.500]
11003.0,Eucla,128.9,-31.7,[21.500 - 24]
11052.0,Forrest,128.1,-30.8,[21.500 - 24]
11053.0,Red Rocks Point,127.5,-32.2,[21.500 - 24]
12009.0,Norseman Aero,121.8,-32.2,[19 - 21.500]
12038.0,Kalgoorlie-Boulder Airport,121.5,-30.8,[21.500 - 24]
12044.0,Munglinup West,120.7,-33.6,[19 - 21.500]
12071.0,Salmon Gums Res.stn.,121.6,-33.0,[19 - 21.500]
12241.0,Leonora Aero,121.3,-28.9,[26.500 - 29]
12305.0,Laverton Aero,122.4,-28.6,[24 - 26.500]
12314.0,Leinster Aero,120.7,-27.8,[26.500 - 29]
12320.0,Southern Cross Airfield,119.4,-31.2,[21.500 - 24]
13011.0,Warburton Airfield,126.6,-26.1,[29 - 31.500]
13017.0,Giles Meteorological Office,128.3,-25.0,[26.500 - 29]
13030.0,Telfer Aero,122.2,-21.7,[31.500 - 34]
14015.0,Darwin Airport,130.9,-12.4,[26.500 - 29]
14031.0,Charles Point,130.6,-12.4,[29 - 31.500]
14041.0,Middle Point,131.3,-12.6,[26.500 - 29]
14072.0,Darwin Ntc Aws,130.8,-12.5,[26.500 - 29]
14142.0,Pirlangimpi Airport,130.4,-11.4,[29 - 31.500]
14198.0,Jabiru Airport,132.9,-12.7,[26.500 - 29]
14272.0,Batchelor Airport,131.0,-13.1,[26.500 - 29]
14277.0,Dum In Mirrie Airstrip,130.4,-12.6,[29 - 31.500]
14401.0,Warruwi Airport,133.4,-11.7,[29 - 31.500]
14404.0,Milingimbi Airport,134.9,-12.1,[29 - 31.500]
14405.0,Maningrida Airport,134.2,-12.1,[29 - 31.500]
14508.0,Gove Airport,136.8,-12.3,[29 - 31.500]
14518.0,Groote Eylandt Airport,136.5,-14.0,[29 - 31.500]
14627.0,Bulman,134.3,-13.7,[26.500 - 29]
14704.0,Mcarthur River Mine Airport,136.1,-16.4,[29 - 31.500]
14723.0,Borroloola Airport,136.3,-16.1,[29 - 31.500]
14825.0,Victoria River Downs,131.0,-16.4,[29 - 31.500]
14829.0,Lajamanu Airport,130.6,-18.3,[29 - 31.500]
14901.0,Douglas River Research Farm,131.2,-13.8,[26.500 - 29]
14932.0,Tindal Raaf,132.4,-14.5,[26.500 - 29]
14948.0,Port Keats Airport,129.5,-14.2,[26.500 - 29]
14949.0,Delamere Weapons Range,131.9,-15.7,[26.500 - 29]
15135.0,Tennant Creek Airport,134.2,-19.6,[29 - 31.500]
15590.0,Alice Springs Airport,133.9,-23.8,[29 - 31.500]
15602.0,Jervois,136.1,-22.9,[31.500 - 34]
15635.0,Yulara Airport,131.0,-25.2,[29 - 31.500]
15643.0,Territory Grape Farm,133.6,-22.5,[29 - 31.500]
15664.0,Walungurru Airport,129.4,-23.3,[31.500 - 34]
16001.0,Woomera Aerodrome,136.8,-31.2,[26.500 - 29]
16090.0,Coober Pedy Airport,134.7,-29.0,[26.500 - 29]
16096.0,Roxby Downs (Olympic Dam Aerodrome),136.9,-30.5,[29 - 31.500]
16097.0,Ernabella (Pukatja),132.2,-26.3,[26.500 - 29]
16098.0,Tarcoola Aero,134.6,-30.7,[26.500 - 29]
17043.0,Oodnadatta Airport,135.4,-27.6,[29 - 31.500]
17110.0,Leigh Creek Airport,138.4,-30.6,[29 - 31.500]
17123.0,Moomba Airport,140.2,-28.1,[31.500 - 34]
17126.0,Marree Aero,138.1,-29.7,[29 - 31.500]
18012.0,Ceduna Amo,133.7,-32.1,[24 - 26.500]
18083.0,Wudinna Aero,135.5,-33.0,[24 - 26.500]
18106.0,Nullarbor,130.9,-31.4,[21.500 - 24]
18115.0,Neptune Island,136.1,-35.3,[19 - 21.500]
18116.0,Cleve Aerodrome,136.5,-33.7,[21.500 - 24]
18120.0,Whyalla Aero,137.5,-33.1,[24 - 26.500]
18191.0,Coulta (Coles Point),135.4,-34.4,[21.500 - 24]
18192.0,North Shields (Port Lincoln Aws),135.9,-34.6,[19 - 21.500]
18195.0,Minnipa Pirsa,135.2,-32.8,[24 - 26.500]
18201.0,Port Augusta Aero,137.7,-32.5,[26.500 - 29]
18217.0,Cummins Aero,135.7,-34.3,[24 - 26.500]
20062.0,Yunta Airstrip,139.6,-32.6,[24 - 26.500]
21131.0,Clare High School,138.6,-33.8,[21.500 - 24]
21133.0,Snowtown (Rayville Park),138.2,-33.8,[24 - 26.500]
22031.0,Minlaton Aero,137.5,-34.7,[21.500 - 24]
22046.0,Edithburgh,137.7,-35.1,[19 - 21.500]
22049.0,Stenhouse Bay,136.9,-35.3,[19 - 21.500]
22050.0,Kadina Aws,137.7,-34.0,[24 - 26.500]
22803.0,Cape Willoughby,138.1,-35.8,[16.500 - 19]
22823.0,Cape Borda,136.6,-35.8,[19 - 21.500]
22841.0,Kingscote Aero,137.5,-35.7,[21.500 - 24]
22843.0,Parndana Cfs Aws,137.2,-35.8,[19 - 21.500]
